ticker,registryclosedate,value,currencyid
MGNT,2016-01-08,179.77,RUB
MGNT,2016-06-17,42.3,RUB
MGNT,2016-09-23,84.6,RUB
MGNT,2016-12-23,126.12,RUB
MGNT,2017-06-23,67.41,RUB
MGNT,2017-09-15,115.51,RUB
MGNT,2018-07-06,135.5,RUB
MGNT,2018-12-21,137.38,RUB
MGNT,2019-06-14,166.78,RUB
MGNT,2020-01-10,147.19,RUB
MGNT,2020-06-19,157.0,RUB
MGNT,2021-01-08,245.31,RUB
MGNT,2021-06-25,245.31,RUB
MGNT,2021-12-31,294.37,RUB
MGNT,2024-01-11,412.13,RUB
MGNT,2024-07-15,412.13,RUB
MGNT,2025-01-09,560.0,RUB
MOEX,2014-07-11,2.38,RUB
MOEX,2015-05-12,3.87,RUB
MOEX,2016-05-16,7.11,RUB
MOEX,2017-05-16,7.68,RUB
MOEX,2017-09-29,2.49,RUB
MOEX,2018-05-15,5.47,RUB
MOEX,2019-05-14,7.7,RUB
MOEX,2020-05-15,7.93,RUB
MOEX,2021-05-14,9.45,RUB
MOEX,2023-05-12,4.84,RUB
MOEX,2023-06-16,4.84,RUB
MOEX,2024-06-14,17.35,RUB
MOEX,2025-07-10,26.11,RUB
MSNG,2014-06-16,0.04,RUB
MSNG,2015-06-24,0.01,RUB
MSNG,2016-06-17,0.06,RUB
MSNG,2017-06-14,0.08,RUB
MSNG,2018-06-18,0.17,RUB
MSNG,2019-07-02,0.21004,RUB
MSNG,2020-07-08,0.12075,RUB
MSNG,2021-07-05,0.17945,RUB
MSNG,2022-07-11,0.22308,RUB
MSNG,2023-07-04,0.18652,RUB
MSNG,2024-07-09,0.16038,RUB
MSNG,2025-07-08,0.22606373615,RUB
MTLR,2019-07-18,0.0,RUB
MTSS,2018-07-09,23.4,RUB
MTSS,2018-10-09,2.6,RUB
MTSS,2019-07-09,19.98,RUB
MTSS,2019-10-14,8.68,RUB
MTSS,2020-01-10,13.25,RUB
MTSS,2020-07-09,20.57,RUB
MTSS,2020-10-12,8.93,RUB
MTSS,2021-07-08,26.51,RUB
MTSS,2021-10-12,10.55,RUB
MTSS,2022-07-12,33.85,RUB
MTSS,2023-06-29,34.29,RUB
MTSS,2024-07-16,35.0,RUB
MTSS,2025-07-07,35.0,RUB
NLMK,2014-06-17,0.67,RUB
NLMK,2014-10-11,0.88,RUB
NLMK,2015-06-16,1.64,RUB
NLMK,2015-10-12,0.93,RUB
NLMK,2016-01-08,1.95,RUB
NLMK,2016-06-14,1.13,RUB
NLMK,2016-10-12,1.08,RUB
NLMK,2017-01-09,3.63,RUB
NLMK,2017-06-14,2.35,RUB
NLMK,2017-10-12,3.2,RUB
NLMK,2018-01-09,5.13,RUB
NLMK,2018-06-20,5.73,RUB
NLMK,2018-10-12,5.24,RUB
NLMK,2019-01-09,6.04,RUB
NLMK,2019-05-06,5.8,RUB
NLMK,2019-06-19,7.34,RUB
NLMK,2019-10-10,3.68,RUB
NLMK,2020-01-09,3.22,RUB
NLMK,2020-05-06,5.16,RUB
NLMK,2020-06-09,3.12,RUB
NLMK,2020-07-13,3.21,RUB
NLMK,2020-10-12,4.75,RUB
NLMK,2020-12-29,6.43,RUB
NLMK,2021-05-11,7.25,RUB
NLMK,2021-06-23,7.71,RUB
NLMK,2021-09-07,13.62,RUB
NLMK,2021-12-07,13.33,RUB
NLMK,2023-01-11,2.6,RUB
NLMK,2024-05-27,25.43,RUB
NVTK,2018-10-10,9.25,RUB
NVTK,2019-05-06,16.81,RUB
NVTK,2019-10-10,14.23,RUB
NVTK,2020-05-08,18.1,RUB
NVTK,2020-10-12,11.82,RUB
NVTK,2021-05-07,23.74,RUB
NVTK,2021-10-11,27.67,RUB
NVTK,2022-05-05,43.77,RUB
